,pirelli_traction_1_5,pirelli_asphalt_grip_1_5,#7_asphalt_abrasion_1_5,pirelli_track_evolution_1_5,pirelli_tyre_stress_1_5,pirelli_braking_1_5,pirelli_lateral_1_5,pirelli_downforce_1_5
Las Vegas 2023,2,3,3,5,3,3,2,1
Le Castellet,,,,,,,,
Le Castellet 2022,4,3,3,3,4,2,4,3
Le Castellet 2021,3,3,3,,4,3,4,3
Le Castellet 2019,,3,3,,4,,4,3
Lusail,,,,,,,,
Lusail 2025,3,4,2,4,5,3,5,4
Lusail 2024,3,3,2,4,5,3,5,4
Lusail 2023,3,3,3,4,5,3,5,4
Lusail 2021,3,3,4,,5,3,5,4
Melbourne,,,,,,,,
Melbourne 2025,2,2,2,3,3,2,3,3
Melbourne 2024,2,3,2,4,3,2,3,3
Melbourne 2023,2,3,2,4,3,2,3,3
Melbourne 2022,3,2,2,4,3,3,3,3
Melbourne 2019,,1,3,,1,,2,4
Mexico City,,,,,,,,
Mexico City 2025,3,2,2,5,2,3,2,5
Mexico City 2024,3,2,2,5,2,3,2,5
Mexico City 2023,3,1,2,3,2,3,2,5
Mexico City 2022,3,2,2,4,2,3,2,5
Mexico City 2021,3,2,2,,3,4,2,5
Miami,,,,,,,,
Miami 2025,3,4,2,5,3,3,3,3
Miami 2024,3,3,2,5,3,3,3,2
Miami 2023,3,3,2,5,3,3,3,2
Miami 2022,3,3,2,5,3,3,3,2
Monaco,,,,,,,,
Monaco 2025,5,2,1,5,1,2,1,5
Monaco 2024,5,1,1,5,1,2,1,5
Monaco 2023,5,1,1,5,1,2,1,5
Monaco 2022,5,1,1,5,1,2,1,5
Monaco 2021,5,1,1,,1,2,1,5
Monaco 2019,,1,1,,1,,1,5
Montréal,,,,,,,,
Montréal 2025,4,2,1,5,3,5,1,1
Montréal 2024,5,1,1,5,3,5,1,1
Montréal 2023,5,1,2,5,3,5,1,1
Montréal 2022,5,1,2,5,3,5,1,1
Montréal 2019,,,,,,,,
Monza,,,,,,,,
Monza 2025,3,3,2,4,3,4,2,1
Monza 2024,3,4,2,4,3,4,2,1
Monza 2023,3,2,3,3,3,4,2,1
Monza 2022,3,2,3,3,5,4,2,1
Monza 2021,3,2,3,,5,4,2,1
Monza 2020,3,2,3,,5,4,2,1
Monza 2019,,2,3,,5,,2,1
Sakhir,,,,,,,,
Sakhir 2025,4,3,5,4,3,4,3,3
Sakhir 2024,4,4,5,4,3,4,3,3
Sakhir 2023,4,3,5,4,3,4,3,3
Sakhir 2022,4,3,5,4,3,4,3,3
Sakhir 2021,4,4,5,,3,4,3,2
Sakhir 2020,4,4,5,,3,4,3,2
Sakhir 2019,,4,5,,3,,3,2
Shanghai,,,,,,,,
Shanghai 2025,3,3,3,5,4,4,4,3
Shanghai 2024,3,2,4,5,4,4,4,3
Shanghai 2019,,3,3,,4,,4,2
Shanghai 2018,,3,3,,4,,4,2
Silverstone,,,,,,,,
Silverstone 2025,3,4,2,2,5,2,5,4
Silverstone 2024,3,4,2,2,5,2,5,4
Silverstone 2023,3,3,3,2,5,2,5,4
Silverstone 2022,3,4,3,3,5,2,5,4
Silverstone 2021,3,3,3,,5,2,5,4
Silverstone 2020,1,4,3,,5,2,5,4
Silverstone 2019,,4,3,,5,,5,4
Singapore,,,,,,,,
Singapore 2025,4,3,3,5,2,5,2,5
Singapore 2024,4,3,3,5,2,5,2,5
Singapore 2023,4,3,3,4,2,5,2,5
Singapore 2022,5,2,3,4,2,5,2,5
Singapore 2019,,1,3,,1,,2,5
Sochi,,,,,,,,
Sochi 2021,4,3,3,,2,3,3,4
Sochi 2020,4,3,2,,2,3,3,4
Sochi 2019,,3,2,,2,,3,4
Spa-Francorchamps,,,,,,,,
Spa-Francorchamps 2025,4,3,3,3,5,4,5,2
Spa-Francorchamps 2024,4,4,4,3,5,4,5,2
Spa-Francorchamps 2023,4,3,4,3,5,4,5,2
Spa-Francorchamps 2022,3,3,4,3,5,4,5,2
Spa-Francorchamps 2021,,,,,,,,
Spa-Francorchamps 2020,3,4,4,,5,3,5,2
Spa-Francorchamps 2019,,4,4,,5,,5,2
Spielberg,,,,,,,,
Spielberg 2025,2,3,3,3,3,3,3,3
Spielberg 2024,2,3,4,3,3,3,3,3
Spielberg 2023,2,3,4,3,3,3,3,3
Spielberg 2022,3,3,4,3,3,3,3,3
Spielberg 2021,3,3,3,,3,3,3,4
Spielberg 2020,3,2,1,,2,4,3,3
Spielberg 2019,,2,1,,2,,3,3
Suzuka,,,,,,,,
Suzuka 2025,3,4,4,3,5,2,5,4
Suzuka 2024,3,3,4,3,5,2,5,4
Suzuka 2023,3,3,4,3,5,2,5,4
Suzuka 2022,3,4,4,3,5,2,5,4
Suzuka 2019,,4,4,,5,,5,3
São Paulo,,,,,,,,
São Paulo 2025,3,3,2,5,3,3,3,4
São Paulo 2024,3,3,2,5,3,3,3,4
São Paulo 2023,3,3,4,4,3,3,3,4
São Paulo 2022,3,3,4,4,3,3,3,4
São Paulo 2021,4,3,3,,3,3,3,4
São Paulo 2019,,3,3,,3,,4,4
Yas Island,,,,,,,,
Yas Island 2025,4,3,3,4,3,4,3,3
Yas Island 2024,4,3,3,4,3,4,3,3
Yas Island 2023,4,4,3,4,3,4,3,3
Yas Island 2022,4,2,3,4,3,4,3,3
Yas Island 2021,3,2,3,,3,3,3,3
Yas Island 2020,4,2,2,,2,3,3,3
Yas Island 2019,,2,2,,2,,3,3
Zandvoort,,,,,,,,
Zandvoort 2025,3,3,3,4,5,3,4,4
Zandvoort 2024,4,3,3,4,5,3,4,4
Zandvoort 2023,4,2,3,4,5,3,4,4
Zandvoort 2022,4,4,3,3,5,3,4,4
Zandvoort 2021,3,3,3,,5,2,4,4
